direccion,precio,gastos_comunes,caracteristicas,num_caracteristicas,fecha_descarga,fecha_publicacion,titulo,url,latitud,longitud,ciudad,precio_range,id,geometry,from_id,to_id,travel_time,routes,board_stops,alight_stops,ride_times,access_time,egress_time,transfer_time,wait_times,total_time,n_iterations
"Manuel De Salas, Ñuñoa, Chile, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",680000.0,Gastos comunes aproximados $ 200.000,88 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 1 día,"3 Dormitorios Plaza Ñuñoa, Estacionamiento Y Bodega",https://www.portalinmobiliario.com/MLC-1731052552-3-dormitorios-plaza-nunoa-estacionamiento-y-bodega-_JM#position=47&search_layout=stack&type=item&tracking_id=62a1104f-8853-4d26-8010-4eb8aa738e3d,-33.473984,-70.6492135,Santiago,"(500000.0, 1000000.0]",157,POINT (-70.6492135 -33.473984),157,14995,21.0,"['L2R', '507']","['29', 'PA450']","['70', 'PA322']","[1.6, 3.6]",6.2,3.3,1.3,"[2.5, 2.1]",20.6,17
"Salvador, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",675000.0,Gastos comunes aproximados $ 170.000,114 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 1 día por Easyprop,Departamento En Arriendo De 2 Dorm. En Ñuñoa,https://www.portalinmobiliario.com/MLC-1733316404-departamento-en-arriendo-de-2-dorm-en-nunoa-_JM#position=4&search_layout=stack&type=item&tracking_id=bde367bd-bec5-4e1b-abef-cf5b5cd22c22,-33.4327079,-70.6261018,Santiago,"(500000.0, 1000000.0]",162,POINT (-70.6261018 -33.4327079),162,14995,26.0,"['L1', 'L2R', '506e']","['85', '44', 'PA450']","['44', '70', 'PA452']","[7.2, 2.6, 2.6]",1.5,4.6,1.3,"[1.3, 4.0, 1.4]",26.4,6
"Monseñor Eyzaguirre, 103, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",660000.0,Gastos comunes aproximados $ 50.000,70 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 6 días por Re/max Central,Arriendo 2 Dormitorios - Metro Monseñor Eyzaguirre,https://www.portalinmobiliario.com/MLC-1391672237-arriendo-2-dormitorios-metro-monsenor-eyzaguirre-_JM#position=42&search_layout=stack&type=item&tracking_id=bde367bd-bec5-4e1b-abef-cf5b5cd22c22,-33.4532001,-70.6135365,Santiago,"(500000.0, 1000000.0]",184,POINT (-70.6135365 -33.4532001),184,14995,24.0,"['L3', '507']","['117', 'PA446']","['116', 'PA322']","[4.1, 9.1]",0.6,3.3,2.1,"[3.4, 2.2]",24.7,22
"Salvador, Providencia, RM (Metropolitana)",820000.0,,75 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 4 días,Arriendo De Departamento En Providencia,https://www.portalinmobiliario.com/MLC-1391908479-arriendo-de-departamento-en-providencia-_JM#position=7&search_layout=stack&type=item&tracking_id=fb31dcd1-1620-4acf-8650-f866ba7bd7bf,-33.4327079,-70.6261018,Santiago,"(500000.0, 1000000.0]",193,POINT (-70.6261018 -33.4327079),193,14995,26.0,"['L1', 'L2R', '506e']","['85', '44', 'PA450']","['44', '70', 'PA452']","[7.2, 2.6, 2.6]",1.5,4.6,1.3,"[1.7, 2.5, 2.0]",25.8,8
"Av. Pedro De Valdivia, Entre Sucre Y Hernán Cortés, Metro Ñuñoa, Ñuñoa, RM (Metropolitana)",690000.0,Gastos comunes aproximados $ 100.000,61 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 3 días por Unne,Arriendo Departamento 2 Dorm/2 Baños; Ñuñoa; C/estac Y Bod,https://www.portalinmobiliario.com/MLC-1392459841-arriendo-departamento-2-dorm2-banos-nunoa-cestac-y-bod-_JM#position=31&search_layout=stack&type=item&tracking_id=fb31dcd1-1620-4acf-8650-f866ba7bd7bf,-33.4541948,-70.6050084,Santiago,"(500000.0, 1000000.0]",207,POINT (-70.6050084 -33.4541948),207,14995,26.0,"['L3', '506v']","['106', 'PA446']","['116', 'PA452']","[5.8, 8.7]",0.4,4.6,2.1,"[2.5, 2.8]",26.9,7
"Avenida Santa María 1 - 300, Providencia, Chile, Bellavista, Providencia, RM (Metropolitana)",790000.0,Gastos comunes aproximados $ 130.000,125 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 1 día,Profer Arrienda / Luminoso Y Lindo Depto/ Providencia,https://www.portalinmobiliario.com/MLC-1392699443-profer-arrienda-luminoso-y-lindo-depto-providencia-_JM#position=48&search_layout=stack&type=item&tracking_id=fb31dcd1-1620-4acf-8650-f866ba7bd7bf,-33.431924,-70.6517093,Santiago,"(500000.0, 1000000.0]",217,POINT (-70.65170929999999 -33.431924),217,14995,23.0,"['L2R', '506v']","['12', 'PA450']","['70', 'PA452']","[6.8, 3.0]",2.7,4.6,1.3,"[3.7, 1.0]",23.0,3
"Metro Chile España, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",750000.0,Gastos comunes aproximados $ 130.000,90 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 4 días,Metro Chile España,https://www.portalinmobiliario.com/MLC-1392254881-metro-chile-espana-_JM#position=49&search_layout=stack&type=item&tracking_id=fb31dcd1-1620-4acf-8650-f866ba7bd7bf,-33.4544565,-70.60535152871154,Santiago,"(500000.0, 1000000.0]",218,POINT (-70.60535152871154 -33.4544565),218,14995,26.0,"['L6', 'L2R', '506v']","['106', '29', 'PA450']","['29', '70', 'PA452']","[8.9, 1.6, 3.3]",1.1,4.6,1.3,"[1.1, 1.5, 1.3]",24.6,2
"Metro Chile España, Plaza Ñuñoa, Ñuñoa, RM (Metropolitana)",720000.0,,75 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 1 día por Nexxos,Departamento Nuevo Mariposa Arriendo Metro Chileespaña Ñuñoa,https://www.portalinmobiliario.com/MLC-1730932160-departamento-nuevo-mariposa-arriendo-metro-chileespana-nunoa-_JM#position=23&search_layout=stack&type=item&tracking_id=427d9102-f6da-4bf4-a7a2-2c4aaf8d9738,-33.4544565,-70.60535152871154,Santiago,"(500000.0, 1000000.0]",234,POINT (-70.60535152871154 -33.4544565),234,14995,26.0,"['L3', '506']","['106', 'PA446']","['116', 'PA452']","[5.8, 8.0]",1.1,4.6,2.1,"[3.5, 1.8]",26.9,13
"Alameda Libertador Bernardo O'higgins. 980, Santiago, Chile, Bulnes, Santiago, RM (Metropolitana)",650000.0,,91 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 4 días,Departamento 3 Dormitorios + 2 Baños - Santiago Centro,https://www.portalinmobiliario.com/MLC-1392267687-departamento-3-dormitorios-2-banos-santiago-centro-_JM#position=17&search_layout=stack&type=item&tracking_id=4dc71b50-a603-4806-a3c7-1a24de67df0a,-33.4524483,-70.679557,Santiago,"(500000.0, 1000000.0]",259,POINT (-70.679557 -33.4524483),259,14995,24.0,"['345', '506e']","['PI169', 'PA289']","['PA592', 'PA433']","[2.7, 3.5]",6.3,3.4,4.7,"[1.5, 1.1]",23.1,1
"Catedral, 1787, Barrio Brasil, Santiago, RM (Metropolitana)",650000.0,Gastos comunes aproximados $ 70.000,100 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 1 día,El Arriendo Que Necesitabas En Santiago Centro.,https://www.portalinmobiliario.com/MLC-1733478922-el-arriendo-que-necesitabas-en-santiago-centro-_JM#position=21&search_layout=stack&type=item&tracking_id=4dc71b50-a603-4806-a3c7-1a24de67df0a,-33.439893,-70.6757129,Santiago,"(500000.0, 1000000.0]",262,POINT (-70.67571289999999 -33.439893),262,14995,25.0,"['505', '119']","['PA428', 'PA271']","['PA297', 'PA276']","[4.2, 7.0]",2.6,4.3,2.0,"[5.1, 3.7]",28.9,3
"Irarrazaval, Parque Juan XXIII, Ñuñoa, RM (Metropolitana)",650000.0,Gastos comunes aproximados $ 75.000,53.88 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 4 días por Gestion&propiedad,Irarrazaval,https://www.portalinmobiliario.com/MLC-1727865628-irarrazaval-_JM#position=39&search_layout=stack&type=item&tracking_id=249a7db9-954f-4cca-8a59-eab9273e4d1c,-33.4549221,-70.628254,Santiago,"(500000.0, 1000000.0]",307,POINT (-70.628254 -33.4549221),307,14995,21.0,['506'],['PD564'],['PA452'],[13.4],1.7,4.6,0.0,[3.1],22.7,26
"Estadio Nacional, Ñuñoa, RM (Metropolitana)",640000.0,,65 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 1 día por Property Partners,Arriendo Amplio Departamento En Ñuñoa,https://www.portalinmobiliario.com/MLC-1392997927-arriendo-amplio-departamento-en-nunoa-_JM#position=10&search_layout=stack&type=item&tracking_id=6d44fb35-240f-478b-a9f1-43fad5f42c99,-33.4623786,-70.6062119,Santiago,"(500000.0, 1000000.0]",322,POINT (-70.60621190000001 -33.4623786),322,14995,26.0,['506e'],['PD582'],['PA452'],[19.4],2.6,4.6,0.0,[2.5],29.0,4
"José Victorino Lastarria 104, Santiago, Chile, Barrio Lastarria, Santiago, RM (Metropolitana)",670000.0,Gastos comunes aproximados $ 135.000,75 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 1 día,"Iluminado Dpto. En Lastarria, Metro Universidad Católica",https://www.portalinmobiliario.com/MLC-1731052274-iluminado-dpto-en-lastarria-metro-universidad-catolica-_JM#position=12&search_layout=stack&type=item&tracking_id=b9f2794e-e4fb-45c7-8e8c-b4d944b5d85b,-33.43885637083333,-70.64116126458333,Santiago,"(500000.0, 1000000.0]",360,POINT (-70.64116126458333 -33.43885637083333),360,14995,25.0,"['L1', 'L2R', '509']","['96', '44', 'PA450']","['44', '70', 'PA452']","[4.4, 2.6, 3.3]",3.1,4.6,1.3,"[2.0, 2.3, 2.7]",26.3,4
"Huerfanos 1795, Santiago, Chile, Barrio Brasil, Santiago, RM (Metropolitana)",650000.0,Gastos comunes aproximados $ 50.000,70 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 2 años,Departamento Amoblado Dúplex Barrio Brasil.,https://www.portalinmobiliario.com/MLC-1610677758-departamento-amoblado-duplex-barrio-brasil-_JM#position=20&search_layout=stack&type=item&tracking_id=f5c16256-782f-4386-aee8-d95fb2e85ad9,-33.44067496666667,-70.66199293333332,Santiago,"(500000.0, 1000000.0]",440,POINT (-70.66199293333332 -33.44067496666667),440,14995,20.0,"['302', '510', '507']","['PA230', 'PA36', 'PA459']","['PA36', 'PA469', 'PA322']","[6.0, 1.1, 0.9]",3.8,3.3,4.8,"[1.9, 1.1, 1.1]",24.0,1
"Santa Elena De Huechuraba 1200 - 1500, Huechuraba, Chile, Pedro Fontova, Huechuraba, RM (Metropolitana)",650000.0,Gastos comunes aproximados $ 80.000,75 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 27 días,"Como Nuevo, Luminoso,  Vista Oriente, Luces Y Cortinas, Cone",https://www.portalinmobiliario.com/MLC-1678270156-como-nuevo-luminoso-vista-oriente-luces-y-cortinas-cone-_JM#position=33&search_layout=stack&type=item&tracking_id=1c60aa85-133d-4a79-86df-afdb1b49ef3f,-33.3693081,-70.6619201,Santiago,"(500000.0, 1000000.0]",521,POINT (-70.6619201 -33.3693081),521,14995,15.0,['119'],['PA274'],['PA276'],[2.8],5.1,4.3,0.0,[4.0],16.1,43
"Grajales 2045, Santiago, Chile, Ejército - Toesca, Santiago, RM (Metropolitana)",650000.0,Gastos comunes aproximados $ 80.000,78 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 40 días,"Se Arrienda Departamento Calle Grajales N°2045, Santiago 3/2",https://www.portalinmobiliario.com/MLC-1620934064-se-arrienda-departamento-calle-grajales-n2045-santiago-32-_JM#position=21&search_layout=stack&type=item&tracking_id=e77938d0-d57a-4135-9eb2-3ce0c007d793,-33.4511186,-70.6639102539309,Santiago,"(500000.0, 1000000.0]",610,POINT (-70.66391025393089 -33.4511186),610,14995,14.0,['121'],['PA274'],['PA276'],[2.8],4.4,4.3,0.0,[2.2],13.6,9
"Llano Subercaseaux 3361, San Miguel, Chile, El Llano, San Miguel, RM (Metropolitana)",650000.0,Gastos comunes aproximados $ 130.000,90 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 26 días,"Se Arrienda Dpto 3d, 2b, E, Llano Subercaseaux, San Miguel",https://www.portalinmobiliario.com/MLC-1385479173-se-arrienda-dpto-3d-2b-e-llano-subercaseaux-san-miguel-_JM#position=16&search_layout=stack&type=item&tracking_id=f443764a-0d93-4cf9-bee7-6ec5db749b32,-33.48494628571429,-70.65044390000001,Santiago,"(500000.0, 1000000.0]",635,POINT (-70.65044390000001 -33.48494628571429),635,14995,22.0,"['L2R', '509']","['45', 'PA450']","['70', 'PA452']","[4.4, 3.3]",4.9,4.6,1.3,"[2.1, 2.6]",23.2,11
"Bartolo Soto 3900 - 4200, San Miguel, Chile, El Llano, San Miguel, RM (Metropolitana)",700000.0,Gastos comunes aproximados $ 130.000,80 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 7 días,Dpto Amplio El Llano Subercaseaux/ San Miguel,https://www.portalinmobiliario.com/MLC-1722828302-dpto-amplio-el-llano-subercaseaux-san-miguel-_JM#position=22&search_layout=stack&type=item&tracking_id=f443764a-0d93-4cf9-bee7-6ec5db749b32,-33.48915226862745,-70.65330815686274,Santiago,"(500000.0, 1000000.0]",638,POINT (-70.65330815686274 -33.48915226862745),638,14995,25.0,"['L2V', 'L2R', '507']","['90', '29', 'PA450']","['29', '70', 'PA322']","[2.3, 1.6, 3.6]",4.8,3.3,1.3,"[3.0, 3.3, 1.0]",24.1,15
"Claudio Gay 2172, Recoleta, Santiago, Chile, Barrio República, Santiago, RM (Metropolitana)",700001.0,Gastos comunes aproximados $ 65.000,92 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 52 días,Duplex Arriendo 2 Dormitorios Barrio República,https://www.portalinmobiliario.com/MLC-1721168340-duplex-arriendo-2-dormitorios-barrio-republica-_JM#position=40&search_layout=stack&type=item&tracking_id=f443764a-0d93-4cf9-bee7-6ec5db749b32,-33.4558083,-70.6658544,Santiago,"(500000.0, 1000000.0]",648,POINT (-70.6658544 -33.4558083),648,14995,6.0,[],[],[],[],,,0.0,[],6.2,60
"Av. Irarrázaval 5225, Ñuñoa, Chile, Plaza Egaña, Ñuñoa, RM (Metropolitana)",700000.0,,2 dormitorios / 2 baños,2,2023-06-13,Publicado hace 25 días,"Departamento En Ñuñoa , Excelente Ubicación Y Conectivida",https://www.portalinmobiliario.com/MLC-1685101880-departamento-en-nunoa-excelente-ubicacion-y-conectivida-_JM#position=43&search_layout=stack&type=item&tracking_id=f443764a-0d93-4cf9-bee7-6ec5db749b32,-33.4518884,-70.631026,Santiago,"(500000.0, 1000000.0]",650,POINT (-70.63102600000001 -33.4518884),650,14995,26.0,"['L3', '507']","['35', 'PA446']","['116', 'PA322']","[1.9, 9.1]",5.9,3.3,2.1,"[1.9, 2.5]",26.7,9
"Fanor Velasco, Centro Histórico de Santiago, Santiago, RM (Metropolitana)",700000.0,,147 m² totales / 4 dormitorios / 2 baños,3,2023-06-13,Publicado hace 27 días,Metros Los Héroes/ 147 Mts2 / 4 Dormitorios,https://www.portalinmobiliario.com/MLC-1678264018-metros-los-heroes-147-mts2-4-dormitorios-_JM#position=5&search_layout=stack&type=item&tracking_id=6f4fd13b-f0bb-4121-adae-a1817bd32f01,-33.4443068,-70.6596251,Santiago,"(500000.0, 1000000.0]",655,POINT (-70.6596251 -33.4443068),655,14995,22.0,"['L2R', '509']","['44', 'PA450']","['70', 'PA452']","[2.6, 3.3]",7.1,4.6,1.3,"[1.1, 3.4]",23.3,1
"Tegualda 1770, Ñuñoa, Chile, Metro Irarrázaval, Ñuñoa, RM (Metropolitana)",700000.0,Gastos comunes aproximados $ 140.000,69 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 41 días,Arriendo Departamento Excelente Ubicación!!!! Barrio Italia,https://www.portalinmobiliario.com/MLC-1611155118-arriendo-departamento-excelente-ubicacion-barrio-italia-_JM#position=12&search_layout=stack&type=item&tracking_id=6f4fd13b-f0bb-4121-adae-a1817bd32f01,-33.4629271,-70.6759376,Santiago,"(500000.0, 1000000.0]",659,POINT (-70.6759376 -33.4629271),659,14995,21.0,"['I18', '506v']","['PA11', 'PA289']","['PA12', 'PA433']","[2.1, 3.8]",6.0,3.4,2.5,"[1.8, 1.4]",21.0,1
"Monseñor Eyzaguirre 65, Metro Monseñor Eyzaguirre, Ñuñoa, RM (Metropolitana)",750000.0,Gastos comunes aproximados $ 140.000,94 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 15 días por Unne,Excelente Vista Departamento En Arriendo 3 Dorm. En Ñuñoa,https://www.portalinmobiliario.com/MLC-1389158387-excelente-vista-departamento-en-arriendo-3-dorm-en-nunoa-_JM#position=45&search_layout=stack&type=item&tracking_id=6f4fd13b-f0bb-4121-adae-a1817bd32f01,-33.4536939925,-70.61377080125,Santiago,"(500000.0, 1000000.0]",677,POINT (-70.61377080125 -33.4536939925),677,14995,25.0,"['L3', '506']","['117', 'PA446']","['116', 'PA452']","[4.1, 8.0]",1.4,4.6,2.1,"[4.0, 2.1]",26.3,23
"Club Hípico, 1320, Parque O'Higgins, Santiago, RM (Metropolitana)",680000.0,Gastos comunes aproximados $ 150.000,98 m² totales / 4 dormitorios / 2 baños,3,2023-06-13,Publicado hace 18 días por Re/max Select, Arriendo Departamento Con Vista A Club Hipico,https://www.portalinmobiliario.com/MLC-1702190810-arriendo-departamento-con-vista-a-club-hipico-_JM#position=49&search_layout=stack&type=item&tracking_id=6f4fd13b-f0bb-4121-adae-a1817bd32f01,-33.4553772,-70.665047,Santiago,"(500000.0, 1000000.0]",679,POINT (-70.665047 -33.4553772),679,14995,5.0,[],[],[],[],,,0.0,[],6.0,60
"Irarrazaval 5094, Plaza Egaña, Ñuñoa, RM (Metropolitana)",650000.0,Gastos comunes aproximados $ 100.000,70 m² totales / 2 dormitorios / 2 baños,3,2023-06-13,Publicado hace 18 días por Gestion&propiedad,Irarrazaval 5094,https://www.portalinmobiliario.com/MLC-1388537521-irarrazaval-5094-_JM#position=24&search_layout=stack&type=item&tracking_id=0cbdcbf1-d591-4e64-876d-af5e03d714da,-33.4549221,-70.628254,Santiago,"(500000.0, 1000000.0]",690,POINT (-70.628254 -33.4549221),690,14995,22.0,['506'],['PD564'],['PA452'],[13.4],1.7,4.6,0.0,[2.7],22.3,24
"Eleuterio Ramírez 600 - 900, Santiago, Chile, Bulnes, Santiago, RM (Metropolitana)",650000.0,Gastos comunes aproximados $ 150.000,75 m² totales / 3 dormitorios / 2 baños,3,2023-06-13,Publicado hace 39 días,Eleuterio Ramirez\ San Francisco\ Serrano\ Santa Isabel ,https://www.portalinmobiliario.com/MLC-1626105762-eleuterio-ramirez-san-francisco-serrano-santa-isabel-_JM#position=30&search_layout=stack&type=item&tracking_id=0cbdcbf1-d591-4e64-876d-af5e03d714da,-33.44882585925926,-70.64825213333333,Santiago,"(500000.0, 1000000.0]",692,POINT (-70.64825213333333 -33.44882585925926),692,14995,25.0,"['206', '506v']","['PA663', 'PA447']","['PA95', 'PA452']","[3.7, 7.6]",2.8,4.6,2.9,"[2.3, 1.6]",25.6,2
