from_id,to_id,travel_time,routes,board_stops,alight_stops,ride_times,access_time,egress_time,transfer_time,wait_times,total_time,n_iterations
11,14996,61.0,"['C06', 'L1', 'L6', '126']","['PB103', '93', '41', 'PD529']","['PC738', '41', '105', 'PD61']","[19.0, 1.0, 7.0, 3.0]",9.5,11.1,6.0,"[3.5, 1.2, 1.4, 2.5]",65.2,1
12,14996,61.0,"['C06', 'L1', 'L6', '126']","['PB103', '93', '41', 'PD529']","['PC738', '41', '105', 'PD61']","[19.0, 1.0, 7.0, 3.0]",9.5,11.1,6.0,"[1.5, 1.2, 1.0, 1.9]",62.3,1
13,14996,26.0,"['L6', '126']","['106', 'PD529']","['105', 'PD61']","[1.4, 3.3]",2.5,11.1,4.0,"[1.8, 2.5]",26.6,6
14,14996,25.0,"['L6', '126']","['106', 'PD529']","['105', 'PD61']","[1.4, 3.3]",2.5,11.1,4.0,"[2.9, 2.4]",27.6,4
15,14996,31.0,"['506e', '325']","['PD524', 'PD530']","['PD590', 'PD892']","[11.9, 1.8]",5.4,4.7,0.7,"[1.3, 2.2]",28.0,2
16,14996,30.0,"['422', 'L3', '325']","['PD452', '119', 'PD107']","['PD313', '118', 'PD892']","[2.6, 2.0, 7.3]",0.9,4.7,4.3,"[1.3, 1.9, 2.3]",27.4,1
17,14996,61.0,"['C06', 'L1', 'L6', '126']","['PB103', '93', '41', 'PD529']","['PC738', '41', '105', 'PD61']","[19.0, 1.0, 7.0, 3.0]",9.5,11.1,6.0,"[2.1, 1.5, 4.1, 2.1]",66.4,1
18,14996,31.0,"['D02', '325']","['PD760', 'PD58']","['PD766', 'PD892']","[10.3, 6.2]",4.5,4.7,0.9,"[4.1, 1.5]",32.2,1
19,14996,22.0,['506'],['PD644'],['PD590'],[8.2],0.3,11.3,0.0,[1.7],21.5,7
20,14996,61.0,"['C06', 'L1', 'L6', '126']","['PB103', '93', '41', 'PD529']","['PC738', '41', '105', 'PD61']","[19.0, 1.0, 7.0, 3.0]",9.5,11.1,6.0,"[2.4, 1.2, 2.4, 1.3]",63.9,1
21,14996,61.0,"['117c', '212']","['PB104', 'PC187']","['PC206', 'PD61']","[15.0, 22.5]",6.3,11.1,2.7,"[4.8, 1.2]",63.5,1
22,14996,61.0,"['C06', 'L1', 'L6', '126']","['PB103', '93', '41', 'PD529']","['PC738', '41', '105', 'PD61']","[19.0, 1.0, 7.0, 3.0]",9.5,11.1,6.0,"[1.4, 2.3, 3.2, 1.3]",64.7,1
23,14996,61.0,"['C06', 'L1', 'L6', '126']","['PB103', '93', '41', 'PD529']","['PC738', '41', '105', 'PD61']","[19.0, 1.0, 7.0, 3.0]",9.5,11.1,6.0,"[2.4, 2.5, 1.1, 2.3]",65.0,1
24,14996,62.0,"['117c', 'L6', '325']","['PB104', '41', 'PD335']","['PC206', '106', 'PD892']","[13.2, 5.2, 10.8]",6.3,4.7,7.0,"[4.4, 4.3, 1.2]",57.1,2
25,14996,60.0,"['117c', '212']","['PB104', 'PC187']","['PC206', 'PD61']","[15.0, 22.5]",6.3,11.1,2.7,"[2.8, 1.5]",61.9,2
26,14996,35.0,"['L6', '508']","['41', 'PD529']","['105', 'PD530']","[7.0, 3.1]",4.8,12.0,4.0,"[4.1, 1.7]",36.7,11
27,14996,61.0,"['117c', 'L6', '106']","['PB104', '41', 'PD529']","['PC206', '105', 'PD61']","[13.2, 7.0, 2.8]",6.3,11.1,9.4,"[3.7, 1.0, 2.7]",57.2,3
28,14996,41.0,"['117', 'L6', '106']","['PC4', '107', 'PD529']","['PC8', '105', 'PD61']","[6.6, 3.9, 2.8]",1.9,11.1,6.4,"[1.0, 5.1, 2.0]",41.0,3
29,14996,30.0,"['L4V', '519']","['24', 'PD553']","['79', 'PD579']","[3.0, 4.7]",4.7,11.4,2.8,"[3.5, 1.0]",31.0,4
30,14996,42.0,"['117', 'L6', '519']","['PC5', '107', 'PD115']","['PC8', '105', 'PD590']","[4.8, 3.9, 4.8]",4.4,11.3,7.1,"[3.3, 1.2, 1.6]",42.4,1
31,14996,75.0,"['C28', '225', 'L1', 'L4V', '510']","['PC615', 'PC115', '40', '93', 'PD553']","['PC115', 'PC1067', '93', '79', 'PD579']","[11.0, 10.9, 8.5, 11.1, 5.1]",5.2,11.4,4.1,"[1.7, 1.9, 1.9, 1.5, 2.5]",76.9,1
32,14996,53.0,"['L2R', 'L6', '519']","['53', '29', 'PD115']","['29', '105', 'PD590']","[5.4, 7.3, 5.2]",14.0,11.3,4.8,"[3.5, 3.8, 1.2]",56.4,1
33,14996,32.0,['126'],['PD108'],['PD61'],[15.8],5.9,11.1,0.0,[2.3],35.2,3
34,14996,48.0,"['L3', 'L6', '106']","['12', '106', 'PD529']","['106', '105', 'PD61']","[13.5, 1.4, 2.8]",11.1,11.1,4.0,"[4.8, 1.6, 2.3]",52.7,2
35,14996,47.0,"['L1', 'L4V', '506']","['40', '93', 'PD553']","['93', '79', 'PD579']","[8.5, 11.1, 4.7]",5.9,11.4,2.8,"[1.6, 1.9, 1.1]",49.0,2
36,14996,85.0,"['I02', 'L5R', 'L3', '325']","['PI777', '11', '75', 'PD335']","['PI1460', '75', '106', 'PD892']","[11.6, 24.2, 11.9, 10.8]",7.5,4.7,5.6,"[1.7, 2.6, 2.4, 1.2]",84.1,1
37,14996,42.0,"['L4V', 'L3', '325']","['17', '24', 'PD107']","['24', '118', 'PD892']","[6.2, 3.9, 8.5]",11.4,4.7,2.0,"[1.3, 2.9, 2.2]",43.1,2
38,14996,69.0,"['L1', 'L6', '126']","['33', '41', 'PD529']","['41', '105', 'PD61']","[8.4, 7.0, 3.0]",30.8,11.1,4.0,"[2.0, 1.6, 3.5]",71.4,5
39,14996,36.0,"['L1', 'L5R', 'L3', '212']","['57', '6', '35', 'PD107']","['6', '35', '118', 'PD61']","[2.5, 3.4, 5.3, 5.2]",1.0,11.1,2.0,"[2.0, 1.8, 1.3, 1.0]",36.6,2
40,14996,,[],[],[],[],,,,[],,
41,14996,39.0,"['L5V', 'L6', '508']","['7', '61', 'PD529']","['61', '105', 'PD530']","[8.3, 2.4, 3.1]",5.0,12.0,4.0,"[2.4, 1.3, 1.8]",40.2,2
42,14996,25.0,['212'],['PD56'],['PD61'],[8.4],3.5,11.1,0.0,[2.2],25.3,5
43,14996,75.0,"['C19', 'L1', 'L6', '511']","['PC615', '58', '41', 'PD115']","['PC178', '41', '105', 'PD590']","[22.0, 6.7, 7.0, 5.4]",5.2,11.3,10.2,"[1.6, 1.3, 1.9, 1.3]",74.0,1
44,14996,29.0,"['507c', '325']","['PD525', 'PD530']","['PD590', 'PD892']","[10.8, 1.5]",4.8,4.7,0.7,"[3.7, 1.9]",28.1,1
45,14996,38.0,"['L1', 'L6', '325']","['93', '41', 'PD335']","['41', '106', 'PD892']","[1.0, 5.2, 10.8]",5.6,4.7,1.7,"[2.0, 1.1, 6.0]",38.0,10
46,14996,35.0,"['L6', 'L3', '212']","['107', '106', 'PD107']","['106', '118', 'PD61']","[2.1, 1.4, 6.2]",8.4,11.1,2.0,"[3.4, 1.4, 1.7]",37.5,1
47,14996,28.0,"['506', '325']","['PD524', 'PD530']","['PD590', 'PD892']","[12.9, 1.5]",2.4,4.7,0.7,"[1.0, 1.2]",24.5,1
48,14996,74.0,"['C28', 'L1', 'L4V', '506']","['PC615', '58', '93', 'PD553']","['PC178', '93', '79', 'PD579']","[24.1, 5.3, 11.1, 4.7]",5.2,11.4,8.2,"[1.4, 2.0, 1.4, 1.1]",75.8,1
49,14996,48.0,"['L2R', 'L3', '325']","['72', '12', 'PD333']","['12', '117', 'PD892']","[1.4, 11.8, 14.4]",9.0,4.7,0.5,"[1.9, 1.5, 3.2]",48.5,4
50,14996,62.0,"['302e', 'L2V', 'L6', '106']","['PG1794', '39', '29', 'PD529']","['PG203', '29', '105', 'PD61']","[5.5, 10.7, 7.3, 2.8]",10.0,11.1,6.4,"[1.6, 2.4, 1.5, 1.3]",60.6,1
51,14996,47.0,"['L1', 'L3', '325']","['26', '15', 'PD333']","['15', '117', 'PD892']","[5.8, 8.4, 17.0]",5.9,4.7,0.5,"[2.0, 3.4, 2.7]",50.4,1
52,14996,31.0,['104'],['PD1629'],['PD61'],[9.9],13.3,11.1,0.0,[1.0],35.3,1
53,14996,34.0,"['212', '325']","['PC23', 'PD107']","['PD107', 'PD892']","[16.1, 7.3]",0.3,4.7,0.0,"[1.1, 3.6]",33.1,1
54,14996,40.0,"['212', '325']","['PC24', 'PD107']","['PD107', 'PD892']","[12.1, 7.3]",8.0,4.7,0.0,"[1.6, 4.3]",38.0,2
55,14996,61.0,"['430', 'L1', 'L4V', '510']","['PC115', '58', '93', 'PD553']","['PC177', '93', '79', 'PD579']","[13.7, 5.3, 11.1, 5.1]",1.9,11.4,9.6,"[1.5, 2.6, 3.1, 1.5]",66.9,1
56,14996,78.0,"['B36', 'L3', '212']","['PB1674', '108', 'PD107']","['PB1979', '118', 'PD61']","[13.5, 26.9, 5.2]",6.8,11.1,7.8,"[6.2, 3.2, 1.5]",82.3,2
57,14996,,[],[],[],[],,,,[],,
58,14996,32.0,['325'],['PD330'],['PD892'],[22.1],1.1,4.7,0.0,[4.1],32.0,16
59,14996,27.0,['506v'],['PD644'],['PD590'],[8.6],6.5,11.3,0.0,[1.5],27.9,5
60,14996,23.0,['212'],['PD107'],['PD61'],[6.2],4.9,11.1,0.0,[2.1],24.2,9
61,14996,59.0,"['B26', 'L3', '325']","['PA387', '12', 'PD333']","['PA87', '117', 'PD892']","[10.5, 11.8, 14.4]",9.4,4.7,3.9,"[1.3, 3.9, 2.2]",62.0,1
62,14996,28.0,['126'],['PD1428'],['PD96'],[10.9],4.2,12.8,0.0,[1.0],28.9,2
63,14996,58.0,"['L1', 'L3', '224']","['67', '15', 'PD107']","['15', '118', 'PD61']","[12.5, 11.8, 5.4]",10.5,11.1,2.0,"[1.2, 3.5, 2.0]",60.0,5
64,14996,39.0,"['L4V', '506']","['93', 'PD553']","['79', 'PD579']","[11.1, 4.7]",6.2,11.4,2.8,"[2.2, 1.0]",39.4,1
65,14996,39.0,"['L1', 'L4V', '506']","['27', '93', 'PD553']","['93', '79', 'PD579']","[3.5, 11.1, 4.7]",2.2,11.4,2.8,"[1.2, 3.6, 1.2]",41.7,3
66,14996,84.0,"['115c', 'L6', '508']","['PI274', '101', 'PD529']","['PI1623', '105', 'PD530']","[34.9, 15.4, 3.1]",8.0,12.0,6.1,"[1.7, 2.7, 2.4]",86.3,1
67,14996,44.0,"['L4V', '506']","['8', 'PD553']","['79', 'PD579']","[7.7, 4.7]",13.9,11.4,2.8,"[2.1, 1.8]",44.3,8
68,14996,49.0,"['L1', 'L6', '506']","['27', '41', 'PD115']","['41', '105', 'PD590']","[4.9, 7.0, 4.6]",12.2,11.3,4.8,"[2.0, 1.5, 1.4]",49.6,1
69,14996,40.0,"['L4V', '506']","['17', 'PD553']","['79', 'PD579']","[9.2, 5.7]",7.4,11.4,2.8,"[2.7, 2.1]",41.3,7
70,14996,28.0,['506v'],['PD644'],['PD590'],[8.6],6.5,11.3,0.0,[3.2],29.6,7
71,14996,38.0,['126'],['PC38'],['PD61'],[23.9],6.8,11.1,0.0,[1.1],42.8,2
72,14996,30.0,"['514c', '506v']","['PD343', 'PD578']","['PD660', 'PD579']","[5.8, 3.8]",3.3,11.4,1.8,"[1.5, 1.9]",29.5,1
73,14996,46.0,"['L5V', 'L3', '325']","['78', '35', 'PD107']","['35', '118', 'PD892']","[11.8, 5.3, 7.3]",4.6,4.7,2.0,"[2.7, 1.5, 1.5]",41.3,3
74,14996,28.0,['126'],['PD1428'],['PD96'],[10.9],4.2,12.8,0.0,[1.5],29.3,5
75,14996,33.0,"['117', '508']","['PD6', 'PD529']","['PD10', 'PD530']","[9.2, 3.1]",1.3,12.0,4.8,"[2.1, 2.3]",34.7,4
76,14996,93.0,"['B16', '435', 'L2R', 'L3', '212']","['PB1041', 'PB511', '5', '12', 'PD107']","['PB511', 'PB126', '12', '118', 'PD61']","[16.3, 3.3, 9.7, 15.1, 5.2]",14.8,11.1,2.7,"[2.2, 1.3, 1.3, 2.3, 1.9]",87.2,1
77,14996,24.0,['325'],['PD81'],['PD892'],[4.3],6.9,4.7,0.0,[3.5],19.3,6
78,14996,48.0,"['L1', 'L6', '325']","['27', '41', 'PD335']","['41', '106', 'PD892']","[4.9, 5.2, 10.8]",11.5,4.7,1.7,"[1.9, 2.0, 4.1]",46.7,13
79,14996,19.0,['325'],['PD81'],['PD892'],[4.3],6.9,4.7,0.0,[2.3],18.2,6
80,14996,40.0,"['104', '325']","['PC24', 'PD58']","['PD58', 'PD892']","[15.6, 5.3]",7.8,4.7,0.0,"[3.8, 1.0]",38.3,1
81,14996,39.0,"['L6', '325']","['29', 'PD335']","['106', 'PD892']","[9.2, 12.6]",8.7,4.7,1.7,"[2.4, 1.6]",41.0,1
82,14996,39.0,"['501', 'L6', '325']","['PC465', '107', 'PD335']","['PC468', '106', 'PD892']","[5.8, 2.1, 12.6]",5.7,4.7,3.6,"[1.7, 2.9, 2.2]",41.3,1
83,14996,27.0,['325'],['PD107'],['PD892'],[7.3],9.7,4.7,0.0,[4.0],25.7,9
84,14996,38.0,"['L1', 'L6', 'L3', '212']","['74', '41', '106', 'PD107']","['41', '106', '118', 'PD61']","[0.9, 5.2, 1.4, 6.2]",4.6,11.1,2.0,"[2.5, 1.5, 1.4, 2.5]",39.3,1
85,14996,77.0,"['B16', '425', 'L2R', 'L3', '104']","['PB1044', 'PB125', '5', '12', 'PD107']","['PB125', 'PB126', '12', '118', 'PD61']","[20.5, 1.1, 9.7, 15.1, 5.8]",0.8,11.1,2.7,"[1.5, 1.0, 1.6, 2.5, 2.0]",75.7,1
86,14996,70.0,"['117c', 'L6', '126']","['PB139', '41', 'PD529']","['PC206', '105', 'PD61']","[23.8, 7.0, 3.0]",8.7,11.1,9.4,"[1.7, 5.2, 2.2]",72.0,2
87,14996,36.0,"['L6', '506']","['107', 'PD115']","['105', 'PD590']","[3.9, 4.6]",10.2,11.3,4.8,"[1.9, 2.0]",38.6,4
88,14996,33.0,"['L4V', '507c']","['55', 'PD553']","['79', 'PD579']","[6.4, 4.8]",3.7,11.4,2.8,"[1.6, 2.2]",32.8,3
89,14996,38.0,"['216', 'L4V', '506']","['PD184', '86', 'PD553']","['PD186', '79', 'PD579']","[3.4, 4.5, 4.7]",7.1,11.4,3.2,"[1.9, 1.0, 2.0]",39.2,1
90,14996,28.0,"['D07', '104']","['PD958', 'PD93']","['PD963', 'PD98']","[6.1, 6.5]",3.7,10.6,1.0,"[2.2, 1.0]",31.1,2
91,14996,77.0,"['C27', 'L1', 'L6', '325']","['PC1264', '40', '41', 'PD335']","['PC1064', '41', '106', 'PD892']","[14.8, 9.9, 5.2, 10.8]",17.3,4.7,3.2,"[2.2, 2.3, 1.8, 4.7]",76.9,3
92,14996,46.0,"['213e', 'L4V', '507c']","['PE141', '36', 'PD553']","['PE143', '79', 'PD579']","[2.6, 15.3, 5.6]",2.9,11.4,3.5,"[1.4, 1.7, 1.0]",45.4,1
93,14996,30.0,['106'],['PC44'],['PD61'],[14.2],4.5,11.1,0.0,[2.2],32.0,4
94,14996,31.0,"['L3', '224']","['117', 'PD107']","['118', 'PD61']","[3.0, 5.4]",6.4,11.1,2.0,"[1.8, 1.3]",31.0,2
95,14996,32.0,['519'],['PD427'],['PD590'],[15.4],5.3,11.3,0.0,[2.2],34.3,3
96,14996,34.0,"['103', '106']","['PD6', 'PD529']","['PD10', 'PD61']","[10.1, 2.8]",2.0,11.1,4.8,"[2.9, 1.5]",35.2,1
97,14996,33.0,"['L3', '104']","['117', 'PD107']","['118', 'PD61']","[3.0, 5.8]",7.2,11.1,2.0,"[1.3, 4.1]",34.6,3
98,14996,43.0,"['L5V', 'L3', '325']","['87', '35', 'PD107']","['35', '118', 'PD892']","[1.5, 5.3, 7.3]",18.2,4.7,2.0,"[2.5, 1.6, 1.5]",44.5,1
99,14996,30.0,['126'],['PD108'],['PD61'],[15.8],2.7,11.1,0.0,[1.6],31.2,7
100,14996,47.0,"['216', 'L4V', '506v']","['PC107', '86', 'PD553']","['PD186', '79', 'PD579']","[16.5, 4.5, 5.0]",0.2,11.4,3.2,"[4.2, 1.0, 4.4]",50.5,1
101,14996,36.0,"['212', '325']","['PC24', 'PD107']","['PD107', 'PD892']","[12.1, 7.3]",6.9,4.7,0.0,"[2.5, 3.8]",37.3,1
102,14996,36.0,"['L6', '508']","['41', 'PD529']","['105', 'PD530']","[7.0, 3.1]",5.8,12.0,4.0,"[1.1, 2.8]",35.8,5
103,14996,35.0,"['L4R', 'L3', '104']","['93', '24', 'PD107']","['24', '118', 'PD61']","[8.0, 3.9, 6.6]",2.7,11.1,2.0,"[1.1, 1.0, 1.6]",38.0,1
104,14996,48.0,"['D15', 'L4V', '506']","['PD753', '86', 'PD553']","['PD759', '79', 'PD579']","[8.4, 4.5, 4.7]",9.9,11.4,4.7,"[1.4, 2.3, 1.9]",49.4,1
105,14996,44.0,"['L1', 'L6', 'L3', '224']","['93', '41', '106', 'PD107']","['41', '106', '118', 'PD61']","[1.0, 5.2, 1.4, 5.4]",13.2,11.1,2.0,"[1.3, 2.3, 1.5, 1.9]",46.4,1
106,14996,59.0,"['C20', 'C11', 'L1', 'L4V', '519']","['PC322', 'PC904', '27', '93', 'PD553']","['PC904', 'PC906', '93', '79', 'PD579']","[3.5, 9.1, 3.5, 11.1, 4.7]",3.2,11.4,7.5,"[2.1, 1.8, 1.2, 1.1, 1.3]",61.4,1
107,14996,33.0,"['L1', 'L6', '508', '325']","['93', '41', 'PD529', 'PD530']","['41', '105', 'PD530', 'PD892']","[1.0, 7.0, 3.1, 1.8]",0.3,4.7,4.0,"[1.6, 1.1, 1.1, 3.0]",28.8,1
108,14996,51.0,"['C37', 'L1', 'L6', '516']","['PC313', '40', '41', 'PD115']","['PC1064', '41', '105', 'PD590']","[4.0, 9.9, 7.0, 5.5]",0.6,11.3,6.3,"[3.0, 2.0, 3.3, 1.3]",54.2,1
109,14996,44.0,"['104', '224']","['PC25', 'PD107']","['PD107', 'PD61']","[12.8, 5.4]",13.8,11.1,0.0,"[1.8, 1.1]",46.0,1
110,14996,48.0,"['L1', 'L6', '106']","['27', '41', 'PD529']","['41', '105', 'PD61']","[4.9, 7.0, 2.9]",13.0,11.1,4.0,"[1.5, 4.8, 2.0]",51.3,1
111,14996,38.0,"['L4R', 'L3', '224']","['30', '24', 'PD107']","['24', '118', 'PD61']","[2.5, 3.9, 5.4]",7.0,11.1,2.0,"[1.1, 1.7, 1.2]",35.9,1
112,14996,43.0,"['L1', 'L6', '126']","['3', '41', 'PD529']","['41', '105', 'PD61']","[3.6, 7.0, 3.0]",7.1,11.1,4.0,"[2.3, 3.2, 1.1]",42.5,11
113,14996,48.0,"['L1', 'L6', 'L3', '325']","['58', '41', '106', 'PD107']","['41', '106', '118', 'PD892']","[6.7, 5.2, 1.4, 8.5]",9.9,4.7,2.0,"[2.0, 2.3, 2.0, 1.4]",46.0,1
114,14996,38.0,"['516', '325']","['PA172', 'PD530']","['PD590', 'PD892']","[22.3, 1.5]",4.5,4.7,0.7,"[1.9, 3.8]",39.6,1
115,14996,38.0,"['516', '325']","['PA172', 'PD530']","['PD590', 'PD892']","[22.3, 1.5]",4.5,4.7,0.7,"[1.0, 4.0]",38.9,1
116,14996,23.0,"['513', '104']","['PD336', 'PD107']","['PD337', 'PD61']","[1.1, 6.6]",2.2,11.1,1.4,"[1.5, 1.6]",25.6,1
117,14996,41.0,"['L1', 'L3', '104']","['96', '15', 'PD107']","['15', '118', 'PD61']","[2.0, 11.8, 5.8]",5.6,11.1,2.0,"[2.2, 1.8, 1.5]",43.8,1
118,14996,,[],[],[],[],,,,[],,
119,14996,,[],[],[],[],,,,[],,
120,14996,30.0,['212'],['PD1629'],['PD61'],[8.8],7.7,11.1,0.0,[2.2],29.9,9
121,14996,45.0,"['L1', 'L4V', '519']","['27', '93', 'PD553']","['93', '79', 'PD579']","[3.5, 11.1, 4.7]",9.0,11.4,2.8,"[2.3, 1.5, 1.4]",47.8,1
122,14996,30.0,"['L3', '224']","['35', 'PD107']","['118', 'PD61']","[5.3, 5.4]",2.8,11.1,2.0,"[2.6, 1.9]",31.2,2
123,14996,28.0,"['508', '325']","['PD588', 'PD530']","['PD530', 'PD892']","[11.2, 1.5]",2.4,4.7,0.0,"[3.0, 2.3]",25.2,2
124,14996,26.0,"['L3', '325']","['24', 'PD107']","['118', 'PD892']","[3.9, 8.5]",0.7,4.7,2.0,"[3.0, 2.3]",25.0,10
125,14996,38.0,"['501', 'L6', '325']","['PC465', '107', 'PD335']","['PC468', '106', 'PD892']","[5.8, 2.1, 12.6]",5.7,4.7,3.6,"[1.1, 1.3, 1.0]",37.8,1
126,14996,35.0,"['L5', 'L6', '106']","['35', '61', 'PD529']","['61', '105', 'PD61']","[1.9, 2.4, 2.9]",7.5,11.1,4.0,"[1.2, 2.5, 1.5]",35.0,1
127,14996,33.0,['D16'],['PD1446'],['PI632'],[19.7],6.7,9.7,0.0,[3.5],39.5,9
128,14996,,[],[],[],[],,,,[],,
129,14996,19.0,[],[],[],[],,,0.0,[],19.0,60
130,14996,48.0,"['503', '219e', 'L3', 'D16']","['PC551', 'PC77', '24', 'PD313']","['PC554', 'PD187', '119', 'PI632']","[6.2, 9.1, 1.5, 8.0]",0.1,9.7,5.8,"[5.0, 1.1, 1.0, 1.1]",48.6,1
131,14996,83.0,"['411', 'C19', 'L1', 'L4V', '519']","['PC1248', 'PC782', '58', '93', 'PD553']","['PC1237', 'PC178', '93', '79', 'PD579']","[7.2, 26.8, 5.3, 11.1, 4.7]",0.7,11.4,9.8,"[5.0, 1.5, 1.4, 3.1, 1.4]",89.4,1
132,14996,86.0,"['I24', 'L5V', 'L6', '106']","['PI198', '68', '61', 'PD529']","['PI1396', '61', '105', 'PD61']","[8.8, 35.1, 2.4, 2.8]",10.1,11.1,5.1,"[1.6, 1.5, 1.4, 2.2]",82.1,1
133,14996,38.0,['519'],['PD550'],['PD579'],[13.2],10.2,11.4,0.0,[1.8],36.6,6
134,14996,48.0,"['L1', 'L4V', '507c']","['40', '93', 'PD553']","['93', '79', 'PD579']","[8.5, 11.1, 4.8]",6.3,11.4,2.8,"[2.2, 1.9, 1.0]",50.1,1
135,14996,24.0,['325'],['PD107'],['PD892'],[7.3],6.0,4.7,0.0,[4.4],22.5,5
136,14996,26.0,['D16'],['PD314'],['PI632'],[6.8],5.8,9.7,0.0,[3.7],25.9,6
137,14996,74.0,"['421', 'L5V', 'L3', '212']","['PI1254', '68', '35', 'PD107']","['PI386', '35', '118', 'PD61']","[5.7, 32.5, 5.3, 5.2]",3.3,11.1,4.3,"[1.4, 3.4, 1.8, 1.9]",75.9,1
138,14996,,[],[],[],[],,,,[],,
139,14996,82.0,"['303e', 'B18e', 'L3', '224']","['PB400', 'PB468', '108', 'PD107']","['PB468', 'PB1979', '118', 'PD61']","[15.3, 6.3, 26.9, 5.4]",0.4,11.1,7.8,"[6.0, 2.2, 3.3, 3.1]",87.8,1
140,14996,88.0,"['B36', 'L3', '325']","['PB1677', '108', 'PD333']","['PB1979', '117', 'PD892']","[12.5, 23.5, 14.4]",15.0,4.7,6.4,"[2.6, 3.4, 2.6]",85.0,2
141,14996,33.0,"['L3', '104']","['35', 'PD107']","['118', 'PD61']","[5.3, 5.8]",5.3,11.1,2.0,"[1.6, 1.1]",32.2,2
142,14996,88.0,"['B16', 'L2R', 'L3', '106']","['PB1051', '5', '12', 'PD110']","['PB125', '12', '117', 'PD61']","[20.8, 9.7, 11.8, 8.9]",10.1,11.1,7.6,"[4.8, 1.3, 1.9, 1.0]",88.9,1
143,14996,88.0,"['B16', 'L2R', 'L6', '508']","['PB1051', '5', '29', 'PD529']","['PB125', '29', '105', 'PD530']","[20.8, 18.1, 7.3, 3.1]",10.1,12.0,8.5,"[1.0, 2.3, 2.3, 1.1]",86.7,1
144,14996,32.0,"['L4V', '516']","['86', 'PD553']","['79', 'PD579']","[4.5, 5.1]",5.4,11.4,2.8,"[3.8, 1.1]",34.1,2
145,14996,33.0,"['103', 'L3', '224']","['PD6', '106', 'PD107']","['PD8', '118', 'PD61']","[3.8, 1.4, 5.4]",2.0,11.1,3.7,"[3.6, 1.4, 1.6]",34.1,1
146,14996,52.0,"['L2R', 'L6', '507c']","['53', '29', 'PD115']","['29', '105', 'PD590']","[5.4, 7.3, 5.0]",13.5,11.3,4.8,"[1.8, 2.3, 1.0]",52.4,1
147,14996,24.0,['325'],['PD335'],['PD892'],[12.6],5.7,4.7,0.0,[1.9],24.9,5
148,14996,,[],[],[],[],,,,[],,
149,14996,53.0,"['L2R', 'L6', '126']","['53', '29', 'PD529']","['29', '105', 'PD61']","[5.4, 7.3, 3.0]",14.0,11.1,4.0,"[1.1, 3.5, 3.1]",52.5,9
150,14996,53.0,"['430', 'L1', 'L6', '126']","['PC298', '58', '41', 'PD529']","['PC177', '41', '105', 'PD61']","[5.1, 6.7, 7.0, 3.3]",0.3,11.1,10.9,"[2.7, 2.6, 2.4, 1.5]",53.5,1
151,14996,36.0,"['L1', 'L6', '508']","['57', '41', 'PD529']","['41', '105', 'PD530']","[2.3, 7.0, 3.1]",0.9,12.0,4.0,"[1.8, 2.7, 3.5]",37.3,6
152,14996,49.0,"['L1', 'L6', '508']","['58', '41', 'PD529']","['41', '105', 'PD530']","[6.7, 7.0, 3.1]",10.8,12.0,4.0,"[1.1, 3.3, 2.5]",50.5,6
